frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529185035.778701000,192.168.43.236,118.190.155.212,35265,8000,0,0,0,0x00000002,,,,
1529185036.111595000,118.190.155.212,192.168.43.236,8000,35265,0,1,0,0x00000012,,0.332894000,,
1529185036.111663000,192.168.43.236,118.190.155.212,35265,8000,1,1,0,0x00000010,,0.000068000,,
1529185036.150403000,118.190.155.212,192.168.43.236,8000,35265,1,1,0,0x00000010,,,1741303459,
1529185036.161095000,118.190.155.212,192.168.43.236,8000,35265,1,1,1228,0x00000010,1228,,1741303459,4290865650
1529185036.161150000,192.168.43.236,118.190.155.212,35265,8000,1,1229,0,0x00000010,,0.000055000,4290848458,
1529185036.162508000,118.190.155.212,192.168.43.236,8000,35265,1229,1,1228,0x00000010,1228,,1741303459,4290866878
1529185036.162565000,192.168.43.236,118.190.155.212,35265,8000,1,2457,0,0x00000010,,0.000057000,4290848458,
1529185036.162620000,118.190.155.212,192.168.43.236,8000,35265,2457,1,1228,0x00000010,1228,,1741303459,4290868106
1529185036.162647000,192.168.43.236,118.190.155.212,35265,8000,1,3685,0,0x00000010,,0.000027000,4290848458,
1529185036.162621000,118.190.155.212,192.168.43.236,8000,35265,3685,1,1228,0x00000010,1228,,1741303459,4290869334
1529185036.162670000,192.168.43.236,118.190.155.212,35265,8000,1,4913,0,0x00000010,,0.000049000,4290848458,
1529185036.164391000,118.190.155.212,192.168.43.236,8000,35265,4913,1,1228,0x00000010,1228,,1741303459,4290870562
1529185036.164431000,192.168.43.236,118.190.155.212,35265,8000,1,6141,0,0x00000010,,0.000040000,4290848458,
1529185036.164557000,118.190.155.212,192.168.43.236,8000,35265,6141,1,1228,0x00000010,1228,,1741303459,4290871790
1529185036.164573000,192.168.43.236,118.190.155.212,35265,8000,1,7369,0,0x00000010,,0.000016000,4290848458,
