frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529185215.696349000,192.168.43.127,118.190.155.212,47942,8000,0,0,0,0x00000002,,,,
1529185216.131476000,118.190.155.212,192.168.43.127,8000,47942,0,1,0,0x00000012,,0.435127000,,
1529185216.131577000,192.168.43.127,118.190.155.212,47942,8000,1,1,0,0x00000010,,0.000101000,3234174186,
1529185216.131605000,192.168.43.127,118.190.155.212,47942,8000,1,1,0,0x00000010,,,3234174186,
1529185216.131762000,192.168.43.127,118.190.155.212,47942,8000,1,1,126,0x00000018,126,,3234174186,4071367622
1529185216.195571000,118.190.155.212,192.168.43.127,8000,47942,1,127,0,0x00000010,,0.063809000,4071367748,
1529185216.195749000,118.190.155.212,192.168.43.127,8000,47942,1,127,204,0x00000018,204,,4071367748,3234174186
1529185216.195787000,192.168.43.127,118.190.155.212,47942,8000,127,205,0,0x00000010,,0.000038000,3234174390,
1529185216.196315000,118.190.155.212,192.168.43.127,8000,47942,205,127,1228,0x00000010,1228,,4071367748,3234174390
1529185216.196353000,192.168.43.127,118.190.155.212,47942,8000,127,1433,0,0x00000010,,0.000038000,3234175618,
1529185216.196596000,118.190.155.212,192.168.43.127,8000,47942,1433,127,1228,0x00000010,1228,,4071367748,3234175618
1529185216.196619000,192.168.43.127,118.190.155.212,47942,8000,127,2661,0,0x00000010,,0.000023000,3234176846,
1529185216.197395000,118.190.155.212,192.168.43.127,8000,47942,2661,127,1228,0x00000010,1228,,4071367748,3234176846
1529185216.197410000,192.168.43.127,118.190.155.212,47942,8000,127,3889,0,0x00000010,,0.000015000,3234178074,
1529185216.197537000,118.190.155.212,192.168.43.127,8000,47942,3889,127,1228,0x00000010,1228,,4071367748,3234178074
1529185216.197551000,192.168.43.127,118.190.155.212,47942,8000,127,5117,0,0x00000010,,0.000014000,3234179302,
1529185216.202404000,118.190.155.212,192.168.43.127,8000,47942,5117,127,1228,0x00000010,1228,,4071367748,3234179302
1529185216.202462000,192.168.43.127,118.190.155.212,47942,8000,127,6345,0,0x00000010,,0.000058000,3234180530,
1529185216.202746000,118.190.155.212,192.168.43.127,8000,47942,6345,127,1228,0x00000010,1228,,4071367748,3234180530
1529185216.202789000,192.168.43.127,118.190.155.212,47942,8000,127,7573,0,0x00000010,,0.000043000,3234181758,
1529185216.203648000,118.190.155.212,192.168.43.127,8000,47942,7573,127,1228,0x00000010,1228,,4071367748,3234181758
1529185216.203706000,192.168.43.127,118.190.155.212,47942,8000,127,8801,0,0x00000010,,0.000058000,3234182986,
1529185216.204775000,118.190.155.212,192.168.43.127,8000,47942,8801,127,1228,0x00000010,1228,,4071367748,3234182986
1529185216.204834000,192.168.43.127,118.190.155.212,47942,8000,127,10029,0,0x00000010,,0.000059000,3234184214,
1529185216.204777000,118.190.155.212,192.168.43.127,8000,47942,10029,127,1228,0x00000010,1228,,4071367748,3234184214
1529185216.204867000,192.168.43.127,118.190.155.212,47942,8000,127,11257,0,0x00000010,,0.000090000,3234185442,
1529185216.262706000,118.190.155.212,192.168.43.127,8000,47942,11257,127,1228,0x00000010,1228,,4071367748,3234185442
1529185216.262766000,192.168.43.127,118.190.155.212,47942,8000,127,12485,0,0x00000010,,0.000060000,3234186670,
1529185216.286819000,118.190.155.212,192.168.43.127,8000,47942,12485,127,1228,0x00000010,1228,,4071367748,3234186670
1529185216.286885000,192.168.43.127,118.190.155.212,47942,8000,127,13713,0,0x00000010,,0.000066000,3234187898,
1529185216.286820000,118.190.155.212,192.168.43.127,8000,47942,13713,127,1228,0x00000018,1228,,4071367748,3234187898
1529185216.286925000,192.168.43.127,118.190.155.212,47942,8000,127,14941,0,0x00000010,,0.000105000,3234189126,
1529185216.287943000,118.190.155.212,192.168.43.127,8000,47942,14941,127,1228,0x00000010,1228,,4071367748,3234189126
1529185216.288009000,192.168.43.127,118.190.155.212,47942,8000,127,16169,0,0x00000010,,0.000066000,3234190354,
1529185216.287944000,118.190.155.212,192.168.43.127,8000,47942,16169,127,1228,0x00000010,1228,,4071367748,3234190354
1529185216.288048000,192.168.43.127,118.190.155.212,47942,8000,127,17397,0,0x00000010,,0.000104000,3234191582,
1529185216.292355000,118.190.155.212,192.168.43.127,8000,47942,17397,127,1228,0x00000010,1228,,4071367748,3234191582
1529185216.292426000,192.168.43.127,118.190.155.212,47942,8000,127,18625,0,0x00000010,,0.000071000,3234192810,
1529185216.292361000,118.190.155.212,192.168.43.127,8000,47942,18625,127,1228,0x00000010,1228,,4071367748,3234192810
1529185216.292464000,192.168.43.127,118.190.155.212,47942,8000,127,19853,0,0x00000010,,0.000103000,3234194038,
1529185216.293054000,118.190.155.212,192.168.43.127,8000,47942,19853,127,1228,0x00000010,1228,,4071367748,3234194038
1529185216.293119000,192.168.43.127,118.190.155.212,47942,8000,127,21081,0,0x00000010,,0.000065000,3234195266,
1529185216.293426000,118.190.155.212,192.168.43.127,8000,47942,21081,127,1228,0x00000010,1228,,4071367748,3234195266
1529185216.293477000,192.168.43.127,118.190.155.212,47942,8000,127,22309,0,0x00000010,,0.000051000,3234196494,
1529185216.294333000,118.190.155.212,192.168.43.127,8000,47942,22309,127,1228,0x00000018,1228,,4071367748,3234196494
1529185216.294401000,192.168.43.127,118.190.155.212,47942,8000,127,23537,0,0x00000010,,0.000068000,3234197722,
1529185216.312136000,118.190.155.212,192.168.43.127,8000,47942,23537,127,1228,0x00000010,1228,,4071367748,3234197722
1529185216.312199000,192.168.43.127,118.190.155.212,47942,8000,127,24765,0,0x00000010,,0.000063000,3234198950,
1529185216.312198000,118.190.155.212,192.168.43.127,8000,47942,24765,127,1228,0x00000010,1228,,4071367748,3234198950
1529185216.312251000,192.168.43.127,118.190.155.212,47942,8000,127,25993,0,0x00000010,,0.000053000,3234200178,
1529185216.333433000,118.190.155.212,192.168.43.127,8000,47942,25993,127,1228,0x00000010,1228,,4071367748,3234200178
1529185216.333492000,192.168.43.127,118.190.155.212,47942,8000,127,27221,0,0x00000010,,0.000059000,3234201406,
